[2019-07-01 15:54:31 $40208.0]	WARNING	swManager_check_exit_status: worker#0[pid=40217] abnormal exit, status=255, signal=0
[2019-07-01 15:56:01 *40224.7]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-07-01 15:56:01 *40223.6]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-07-01 15:56:01 $40208.0]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-07-01 15:56:01 $40208.0]	WARNING	swManager_check_exit_status: worker#15[pid=40216] abnormal exit, status=0, signal=1
[2019-07-01 15:56:01 *40220.3]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-07-01 15:56:01 *40218.1]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-07-01 15:56:01 *40219.2]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-07-01 15:56:01 *40230.0]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-07-01 15:56:01 *40221.4]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-07-01 15:56:01 *40222.5]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-07-01 15:56:01 $40208.0]	WARNING	swManager_check_exit_status: worker#14[pid=40215] abnormal exit, status=0, signal=1
[2019-07-01 15:56:01 $40208.0]	WARNING	swManager_check_exit_status: worker#13[pid=40214] abnormal exit, status=0, signal=1
[2019-07-01 15:56:01 $40208.0]	WARNING	swManager_check_exit_status: worker#12[pid=40213] abnormal exit, status=0, signal=1
[2019-07-01 15:56:01 $40208.0]	WARNING	swManager_check_exit_status: worker#11[pid=40212] abnormal exit, status=0, signal=1
[2019-07-01 15:56:01 $40208.0]	WARNING	swManager_check_exit_status: worker#10[pid=40211] abnormal exit, status=0, signal=1
[2019-07-01 15:56:01 $40208.0]	WARNING	swManager_check_exit_status: worker#9[pid=40210] abnormal exit, status=0, signal=1
[2019-07-01 15:56:01 $40208.0]	WARNING	swManager_check_exit_status: worker#8[pid=40209] abnormal exit, status=0, signal=1
[2019-07-01 16:33:41 $40374.0]	INFO	Server is reloading task workers now
[2019-07-01 16:33:43 ^40375.8]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=40376] exit timeout, forced kill
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=40377] exit timeout, forced kill
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=40378] exit timeout, forced kill
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=40379] exit timeout, forced kill
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=40380] exit timeout, forced kill
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=40381] exit timeout, forced kill
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=40382] exit timeout, forced kill
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_check_exit_status: worker#10[pid=40377] abnormal exit, status=0, signal=9
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_check_exit_status: worker#14[pid=40381] abnormal exit, status=0, signal=9
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_check_exit_status: worker#15[pid=40382] abnormal exit, status=0, signal=9
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_check_exit_status: worker#13[pid=40380] abnormal exit, status=0, signal=9
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_check_exit_status: worker#12[pid=40379] abnormal exit, status=0, signal=9
[2019-07-01 16:33:44 $40374.0]	WARNING	swManager_check_exit_status: worker#11[pid=40378] abnormal exit, status=0, signal=9
[2019-07-01 16:35:13 $40374.0]	INFO	Server is reloading task workers now
[2019-07-01 16:35:15 ^40653.8]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=40658] exit timeout, forced kill
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=40659] exit timeout, forced kill
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=40664] exit timeout, forced kill
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=40663] exit timeout, forced kill
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=40662] exit timeout, forced kill
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=40660] exit timeout, forced kill
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=40661] exit timeout, forced kill
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_check_exit_status: worker#10[pid=40659] abnormal exit, status=0, signal=9
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_check_exit_status: worker#11[pid=40664] abnormal exit, status=0, signal=9
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_check_exit_status: worker#12[pid=40663] abnormal exit, status=0, signal=9
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_check_exit_status: worker#13[pid=40662] abnormal exit, status=0, signal=9
[2019-07-01 16:35:16 $40374.0]	WARNING	swManager_check_exit_status: worker#15[pid=40661] abnormal exit, status=0, signal=9
